,Headlines,Date
0,Stay away from Reliance Industries: Vijay, 31 Dec 2008
1,The 3 who took on the bear and had a tale to tell,31 Dec 2008 
2,Limited downside in Reliance Industries: Tulsian,26 Dec 2008 
3,Reliance Petro's export refinery goes on stream ,26 Dec 2008 
4,RIL-RNRL case: Justice Tated transferred out of Bombay HC, 24 Dec 2008
5,RIL wins a Deep Water block in NELP VII, 23 Dec 2008
6,Sell Reliance Industries: Sharekhan, 23 Dec 2008
7,GAIL agrees to supply additional gas to RIL ,23 Dec 2008 
8,RIL & BP sign production sharing contract,22 Dec 2008
9,Reliance can slip to Rs 1225-1240:Bhambwani,22 Dec 2008 
10,Reliance has resistance at Rs 1390-1400: Mathew, 22 Dec 2008
11,"Buy Reliance, target of Rs 1710: Sharekhan", 20 Dec 2008
12,Mumbai attacks hits RIL's E&P activity,19 Dec 2008 
13,Slowdown blues: RIL puts new initiatives on hold, 19 Dec 2008
14,Invest carefully in Reliance Industries: Sukhani, 19 Dec 2008
15,Reliance Industries looks expensive: A. Tandon,16 Dec 2008 
16,Reliance Ind can head upto Rs 1440-1460: Bhambwani,16 Dec 2008 
17,ONGC can go upto Rs 745: Bhambwani,16 Dec 2008 
18,Edelweiss Capital raises Rs 1000cr of NCDs for RIL, 16 Dec 2008
19,RIL has resistance at Rs 1450: Sukhani,16 Dec 2008 
20,RIL a market performer: Dhawan,15 Dec 2008 
21,Reliance Ind can head up to Rs 1440-1500: Gujral,15 Dec 2008 
22,"RIL, SBI, ICICI Bank announce Q3 advance tax nos",15 Dec 2008 
23,Reliance Industries has target of Rs 1361: Bose,15 Dec 2008 
24,"Above Rs 1310, Reliance can go upto Rs 1450: M Thacker",12 Dec 2008 
25,"Buy Reliance Industries, target of Rs 1880: Angel", 12 Dec 2008
26,Is RIL-RNRL tussle headed for out-of-court settlement?, 12 Dec 2008
27,"Above Rs 1280, Reliance can touch Rs 1340-1350: Bose",11 Dec 2008 
28,"Buy Reliance Industries, target of Rs 1710: Sharekhan",11 Dec 2008 
29,Reliance Industries has target of Rs 1314: Gujral,11 Dec 2008 
30,Reliance signs $400-m financing facility with JP Morgan ,11 Dec 2008 
31,Reliance Ind has 10% upside: V Kapoor,10 Dec 2008 
32,Book profit in Reliance says Sukhani,10 Dec 2008 
33,Buy Reliance: R Jain,08 Dec 2008 
34,"Buy Reliance Industries, target of Rs 2000: UBS", 08 Dec 2008
35,J.P.Morgan overweight on Reliance Industries, 08 Dec 2008
36,Reliance Ind can slip to Rs 1030: Gujral,05 Dec 2008 
37,"Buy Reliance Industries, target of Rs 1880: Angel", 05 Dec 2008
38,Clarity needed on govt's gas price move: SP Tulsian,04 Dec 2008 
39,Reliance can slip below Rs 1000: Bose,03 Dec 2008 
40,RIL suspends operations at 4 units in Vadodara facility ,03 Dec 2008 
41,"GAIL, ONGC to get gas from Reliances K-G field ",01 Dec 2008 
42,Reliance can touch Rs 1360-1400: E Mathew,28 Nov 2008 
43,HSBC overweight on Reliance Industries, 28 Nov 2008
44,Reliance about to start 2nd refinery,26 Nov 2008 
45,Reliance has support at Rs 700: Guppy, 26 Nov 2008
46,Reliance Industries may slip to Rs 875: N Pillai,26 Nov 2008 
47,"BHEL, BEL plan integrated photovoltaic facility ",25 Nov 2008 
48,Reliance has support at Rs 400-500: Sukhani,21 Nov 2008 
49,RIL-RNRL imbroglio: HC wants to wrap case by Dec 12,21 Nov 2008 
50,Reliance may slip to Rs 800-900: Hariharan, 20 Nov 2008
51,Downside left in Reliance Industries: Mohindar, 20 Nov 2008
52,"Hold Reliance Industries, says G Shah", 20 Nov 2008
53,Reliance may slip to Rs 850-900: V Kapoor, 20 Nov 2008
54,Reliance has target of Rs 875: N Pillai,20 Nov 2008 
55,Reliance has support at Rs 1050-1070: D Dutta,19 Nov 2008 
