,Headlines,Date
0,Brand Promotions launches its events arm in Mumbai, 31 Dec 2007
1,"E. Timor: IOC, Oil India may partner Reliance Ind",31 Dec 2007 
2,2007: The year in review,29 Dec 2007 
3,Reliance to foray in dairy biz,28 Dec 2007 
4,"Above Rs 3000, Reliance can go upto Rs 3260-3300", 27 Dec 2007
5,"Reliance, IOC to go slow on city gas venture ",27 Dec 2007 
6,"Above Rs 2945, Reliance can go upto Rs 3370: Gujral",26 Dec 2007 
7,Banking pack to be the leader: Mohindar,26 Dec 2007 
8,Expect another 5-8% returns in Reliance,26 Dec 2007 
9,Reliance Industries will give positive returns: Dalal,26 Dec 2007 
10,Emerson & Cisco combine expertise & technology,24 Dec 2007
11,Chakrabarty bullish on Reliance Industries, 24 Dec 2007
12,Reliance foray into fertiliser sector may take longer,19 Dec 2007 
13,Nanotechnology opens global opportunity of $1 trillion,18 Dec 2007
14,"Buy SBI, RIL, says Chakrabarty",18 Dec 2007 
15,"BF Utilities,RIL, Wipro bag MOFSL's Wealth Creation Awards",18 Dec 2007
16,Reliance may come down to Rs 2620-2650,18 Dec 2007 
17,Sanghvi Movers sees EBITDA margin at 73% for next 3 yrs ,18 Dec 2007 
18,Govt set to revamp cold chain facilities,18 Dec 2007 
19,Videocon to hive off businesses ,18 Dec 2007 
20,Three companies applied for units under fab policy,18 Dec 2007 
21,Reliance can cross Rs 3000,17 Dec 2007 
22,"RIL, Tata keen on solar power biz",15 Dec 2007 
23,RIL bags two awards on National Energy Conservation, 15 Dec 2007
24,RIL signs 2 E&P contracts in Colombia Offshore,11 Dec 2007
25,"Tower biz JV to benefit Idea, raise efficiency",10 Dec 2007 
26,Reliance third well in Cauvery Basin turns out to be dry,10 Dec 2007 
27,"Reliance Gas, GAIL sign pact for gas transportation",08 Dec 2007 
28,India Inc czars shine at IBLA awards!,07 Dec 2007 
29,"Kuwait Petro to invest in refineries, petchem projects",06 Dec 2007 
30,"Mukesh Ambani, Bharti Airtel win IBLA'07 Award", 06 Dec 2007
31,Reliance seeing $10-15 bn upstream acquisition,05 Dec 2007 
32,"Reliance, GAIL join hands for petrochem complexes ",05 Dec 2007 
33,GAIL-RIL sign MoU to set up petrochemical plants globally,04 Dec 2007
34,"Dabur aims at Rs 1,000 cr rev from H&B stores by 2010",04 Dec 2007 
35,Marico wins CNBC TV 18 Employer of Choice Award, 04 Dec 2007
36,Moody's affirms RIL' Baa2 rating, 04 Dec 2007
37,Remain invested in Videocon Ind: Mehta, 04 Dec 2007
38,Govt may relax upper limit on SEZ size: Commerce Secy  , 03 Dec 2007
39,"Indias 3D Advantage: Democracy, Demography & Durability", 03 Dec 2007
40,B H Jain conferred Water Conserver of India award, 01 Dec 2007
41,Top Rankers National Workshop on Nurturing Leadership,30 Nov 2007
42,RIL may surrender 7 exploration blocks: NW18,29 Nov 2007 
43,RIL denies media report on RNRL acquisition,29 Nov 2007
44,RNRL has good headroom after Rs 169,28 Nov 2007 
45,Winners of MMRDA plot auction,26 Nov 2007 
46,"Is Bharti, Vodafone Essar, Idea planning a tower giant?",26 Nov 2007 
47,Jain Irrigation gets 4 PLEXCOUNCIL Export Awards,26 Nov 2007
48,Stake sale may enable Chevron exit RPL: GS, 26 Nov 2007
49,RIL sells 4.01% of RPLs equity for Rs 4023cr,24 Nov 2007
50,RIL sells 4% stake in RPL , 24 Nov 2007
51,Not 'Only Vimal' anymore!,23 Nov 2007 
52,"HPCL, BPCL & IOC  join race for oil blocks",22 Nov 2007 
53,Prefer Reliance Capital to RNRL: A Kapoor,22 Nov 2007 
54,RIL signs PSA for 2 blocks in Yemen,21 Nov 2007
55,We are not dislocating any villager: Anand Jain,19 Nov 2007 
56,India's richest four worth $180 bn,16 Nov 2007 
57,Reliance deals with Kurdish Region have no standing: Iraq,16 Nov 2007 
58,What is Reliance Jewels' mass mkt strategy?,14 Nov 2007 
59,Large retailers gearing up for loan biz,13 Nov 2007 
60,RIL signs PSA for Deep Water Offshore Block in Oman,12 Nov 2007
61,ONGC faces threat of delisting,12 Nov 2007 
62,RIL awarded O&G contract in Kurdistan Region of Iraq, 10 Nov 2007
63,Reliance mulls co-branding initiative for Vimal,10 Nov 2007 
64,Reliance forays into footwear and jewellery retail,08 Nov 2007 
65,GAIL attracts investors interest on Nigeria deal,08 Nov 2007 
66,Buy Reliance Industries: Merrill Lynch Research,07 Nov 2007 
67,"Hold Reliance Industries, says Mohindar",07 Nov 2007 
68,RIL strikes gas in KG-OSN-2001/1 Reinforcing Miocene, 07 Nov 2007
69,Fertiliser bonds may flow in 10 days: RCF, 07 Nov 2007
70,RIL discovers gas in Krishna basin,06 Nov 2007 
71,Global Vectra Helicorp reports revenue of Rs 90cr,02 Nov 2007
72,"Nitin Fire's total income rises 31% to Rs 3,575.89 lakh",31 Oct 2007
73,"Is RIL, RNRL to renegotiate gas contract?",30 Oct 2007 
74,"PSL: Q2 FY08 revenues improve 60% to Rs 5,031mn", 30 Oct 2007
75,"Prefer RIL to RPL, says Sanju Verma", 30 Oct 2007
76,Ambani elbows out Gates to become world's richest ,29 Oct 2007 
77,India requires USD 500bn for infrastructure projects,29 Oct 2007
78,IBEF Research: A billion buyers marketplace,29 Oct 2007 
79,Reliance has more upside,29 Oct 2007 
80,RIL set to re-launch Vimal around Diwali ,26 Oct 2007 
81,"Buy Reliance, BHEL on every fall: Sukhani",24 Oct 2007 
82,Tata motors looks promising: Mohindar,23 Oct 2007 
83,CII announces HR Summit & HR Award for Excellence function,22 Oct 2007
84,Reliance relaunches Vimal with a new look & more offerings, 20 Oct 2007
85,RIL scrip should get rerated from these levels: Tulsian, 19 Oct 2007
86,"RILs net profit of Rs 7,467cr for 1HFY07-08, up 31%",18 Oct 2007
87,RIL Q2 net profit at Rs 3837cr,18 Oct 2007 
88,Fibcom bags Delhi Metro Rail Corporation order,18 Oct 2007
89,LNG prices to be competitive going ahead: Petronet LNG,18 Oct 2007 
90,Reliance Q2 net profit seen up at Rs 3420 cr,18 Oct 2007 
91,What does HC judgement mean for RIL-RNRL?,16 Oct 2007 
92,RIL-RNRL court fight: What is it about?,15 Oct 2007 
93,Catch Mickey & His Friends celebrating Navratri,15 Oct 2007
94,Rate approval in RIL-RNRL case not question of law: Tulsian,15 Oct 2007 
95,"Reliance, BG India, ONGC conferred Energy Excellence Awards", 15 Oct 2007
96,HC asks RIL-RNRL to renegotiate gas dispute in 4 months, 15 Oct 2007
97,Reliance on an expansion drive,12 Oct 2007
98,Hold Reliance with stoploss of Rs 2620: Mohindar,12 Oct 2007
99,RIL plans to invest $4 bn in hydrocarbons, 12 Oct 2007
100,Govt approves Reliance's gas price from KG-D6 fields,11 Oct 2007
101,"Stay away from IT, Pharma stocks",11 Oct 2007
102,IOC in talks with RIL for joint exploration ,11 Oct 2007
103,Crude hunt: Reliance strikes oil in Cauvery basin,10 Oct 2007
104,Reliance Ind has target of Rs 2750,09 Oct 2007
105,Reliance Petroleum a good buy: Padia,08 Oct 2007
106,Reliance Industries sets up Innovation Leadership Centre, 06 Oct 2007
107,Reliance group's Rewas port project runs into land hurdle,06 Oct 2007
108,Reliance to convert petroleum coke into synthetic fuel,04 Oct 2007
109,Reliance Industries a strong pick,03 Oct 2007
110,Reliance Energy has support at Rs 1145-1150,03 Oct 2007
111,"Reliance Retail looking at finance, insurance, travel ",03 Oct 2007
112,"M S University confers M Ambani,Dr. Science Honoris Causa",01 Oct 2007
113,"RIL, Bharti Airtel look interesting on dip of 4-5%", 27 Sep 2007
114,Investors richer by Rs 2 lakh crore in just six days,27 Sep 2007
115,Reliance Retail to pull out of UP: Srcs,26 Sep 2007
116,Advertisers celebrate India's win,25 Sep 2007
117,Buy Reliance at 2250: Tulsian,25 Sep 2007
118,CARE assigns PR1+/PR1 rtg to CP/STD prog Gannon Dunkerley, 25 Sep 2007
119,Has Twenty20 format won advertisers?,24 Sep 2007 
120,Buy Reliance Inds on correction: Chouhan,24 Sep 2007
121,RIL continues its success in deeper Mesozoic Targets ,24 Sep 2007
122,RIL pursuing acquisition of overseas rig co,24 Sep 2007
123,RIL discovers oil in D-4 block in KG Basin,24 Sep 2007
124,Oil Ministry moots panel to monitor nomination blocks,24 Sep 2007
125,RIL wins Indore Development Authority plot for Rs 270 cr,21 Sep 2007
126,Reliance Energy has strong support at Rs 915-930: Anu Jain,21 Sep 2007
127,"Sell Reliance Energy, says Tulsian",21 Sep 2007
128,RIL strikes oil in new KG Basin well,21 Sep 2007
129,Reliance has target of Rs 2200,20 Sep 2007
130,"Protests outside Rel Fresh, Subhiksha stores in Delhi   ",20 Sep 2007
131,"Above Rs 2198, Reliance can go upto Rs 2263",19 Sep 2007
132,RIL-CONCOR in JV to offer freight solutions,19 Sep 2007
133,Govt clears 3 Mukesh Ambani promoted IT SEZs,18 Sep 2007
134,Reliance KG gas pipeline may be ready by March ,17 Sep 2007
135,Retailers seek unconventional spaces to set up shop,14 Sep 2007
136,Replacements in BSE Indices,13 Sep 2007
137,Does EGoM's decision benefit RIL?,13 Sep 2007
138,EGoM approves RIL gas price at $4.2/mBtu,12 Sep 2007
139,Reliance has target of Rs 2600-2700,12 Sep 2007
140,EGoM leaves KG gas pricing in Pranab's hands, 12 Sep 2007
141,"RIL stocks runs upto Rs 2,000",12 Sep 2007
142,Reliance acquires polyester assets of Malaysia-based Hualon,11 Sep 2007
143,Book some profit in Reliance at Rs 2050,11 Sep 2007
144,RIL plans Rs 25k cr healthcare initiative over 7-8 yrs,11 Sep 2007
145,ONGC renews interest in Cauvery deepwater asset,11 Sep 2007
146,Gas wars: The Ambani feud continues,10 Sep 2007
147,Reliance signs agreement to acquire assets of Hualon, 10 Sep 2007
148,RIL acquires polyester assets of Malaysian-based Hualon, 10 Sep 2007
149,IPCL amalgamates with RIL,06 Sep 2007
150,CII delegation to participate in WEFs Dalian summit,06 Sep 2007
151,F&O strategies for the day, 06 Sep 2007
152,RNRL writes to govt on RIL gas price,06 Sep 2007
153,Reliance's retail venture to finally kick off in Mumbai,06 Sep 2007
154,Reliance makes acquisition in East Africa,05 Sep 2007
155,NTPC moves to Bombay HC for early hearing against RIL ,05 Sep 2007
156,Reliance signs MoU with US-based Rohm and Haas,05 Sep 2007
157,CPI(M) cries foul over gas pricing policy,04 Sep 2007
158,RIL acquires GAPCO' s petroleum retailing assets,04 Sep 2007
159,Reliance eyes Kenya Petro stake, 04 Sep 2007
160,ICC announces sponsors for ICC World Twenty20 SA 07,03 Sep 2007
161,RIL hikes yarn prices by Rs 1-3/kg from Sept 1: Srcs, 03 Sep 2007
162,Reliance Industries has target of Rs 2027: Bose, 03 Sep 2007
163,"SBI targeting Rs 40,000-cr lending to farm sector ",01 Sep 2007
164,"Essar may raise Rs 3,000 cr from overseas market ",01 Sep 2007
165,Reliance Industries can touch Rs 2050,31 Aug 2007
