,Headlines,Date
0,Aker may submit report in Apr on ONGC-RIL tie-up prospect,30 Dec 2013 
1,"Reliance Industries may test Rs 1000, says Sukhani",30 Dec 2013 
2,Oil & gas space looks weak: Gautam Shah, 30 Dec 2013
3,"RIL, BP to give $1.2 bn bank guarantee for higher gas price", 29 Dec 2013
4,"Ambanis, Mittal, Tata, Sahara face tough 2013 in courts", 29 Dec 2013
5,"Buy RIL, hold BPCL & Oil India: IIFL's Prayesh Jain",26 Dec 2013 
6,Prayesh Jain bullish on Reliance Industries,26 Dec 2013 
7,Nischal Maheshwari positive on Reliance Industries, 23 Dec 2013
8,Adil Zainulbhai joins Reliance's Board as independent director,21 Dec 2013 
9,Reliance Industries: Outcome of board meeting, 20 Dec 2013
10,Gas price hike may up output to 100 mcm by 2016-17: ONGC,20 Dec 2013 
11,"Buy Reliance Industries, says Nooresh Merani",20 Dec 2013 
12,Higher rates will help increase domestic gas output: Moily,20 Dec 2013 
13,Buy Reliance Industries: Prayesh Jain,20 Dec 2013 
14,Buy Reliance Industries on dips: Ajay Bodke,20 Dec 2013 
15,RIL may remain in Rs 850-925 range: SP Tulsian,20 Dec 2013 
16,RIL may trade between Rs 840-920: Deven Choksey, 20 Dec 2013
17,RIL gas price hike will help industry more than co: ONGC, 19 Dec 2013
18,Higher gas price for RIL good news but unfortunate: Taneja,19 Dec 2013 
19,CCEA okays higher gas price for RIL but with riders,19 Dec 2013 
20,GAIL doubles marketing margin on gas,18 Dec 2013 
21,"RIL shuts crude unit at 660,000 bpd refinery: Sources", 18 Dec 2013
22,"Reliance Retail to discontinue non-vegetarian food offering, Delight",17 Dec 2013 
23,RIL plans to shut crude unit in Feb for maintenance,16 Dec 2013 
24,RIL protests against move to snatch away 5 gas discoveries, 15 Dec 2013
25,"OilMin allows RIL, GAIL freedom to fix marketing margin",12 Dec 2013 
26,RIL-BP JV can quadruple natural gas production by 2020,11 Dec 2013 
27,"Bharti, Reliance Jio announce telecom infra sharing arrangement",11 Dec 2013 
28,Open to tie-up with Airtel for 4G service in Punjab: Ambani,09 Dec 2013 
29,Arvind Sanger optimistic on oil & gas sector, 09 Dec 2013
30,"Law Min, Planning Commission support Oil Min plan on RIL",08 Dec 2013 
31,RIL's KG-D6 output slips to 10 mmscmd,05 Dec 2013 
32,"Buy Reliance Industries, TCS on dips: Sukhani",04 Dec 2013 
33,Buy Reliance Industries at around Rs 840-850: Deven Choksey,04 Dec 2013 
34,"Hold Reliance Industries, advises Sudarshan Sukhani",28 Nov 2013 
35,RIL bank guarantee issue to be resolved in 15 days: Oil Min,26 Nov 2013 
36,Go long in Reliance Industries: Siddharth Bhamre, 26 Nov 2013
37,RIL shuts secondary unit for planned maintenance,25 Nov 2013 
38,Reliance Industries may test Rs 950-1000: Parag Thakkar, 25 Nov 2013
39,Short Reliance Industries: Sudarshan Sukhani,21 Nov 2013 
40,Buy Reliance Industries 880 Call: Gopi Suvanam, 20 Nov 2013
41,Hold Reliance Industries: Rahul Mohindar,18 Nov 2013 
42,"Pick Reliance Industries, advises Ambareesh Baliga",18 Nov 2013 
43,RIL to give $135mn bank guarantee for higher gas price,18 Nov 2013 
44,Non-adherance to KG-D6 plan be taken as default: Panel,17 Nov 2013 
45,RIL to repair wells to increase KG-D6 gas output,17 Nov 2013 
46,Gopi Suvanam bullish on Reliance Industries, 14 Nov 2013
47,"Buy L&T, Reliance Industries on dips: Baliga", 13 Nov 2013
48,Govt likely to allow doubling of KG-D6 gas price,11 Nov 2013 
