,Headlines,Date
0,Buy Reliance Industries 860 Call: VK Sharma , 31 Dec 2012
1,6 stock ideas to liven up your trade,31 Dec 2012 
2,"Bull's Eye: Short HDIL, L&T, RIL; buy Escorts",31 Dec 2012 
3,"RIL buys back shares worth Rs. 3,800 crore", 30 Dec 2012
4,Buy Pantaloon Retail futures for target of Rs 265: Thukral, 29 Dec 2012
5,"F&O market: Strategy for RIL, Pantaloon", 29 Dec 2012
6,"Buying opportunities seen in Infosys, Wipro: Sukhani",28 Dec 2012 
7,Gas producers to be allowed to charge mkt rates: 12th Plan,28 Dec 2012 
8,"Positive on mkt, target of 6100-6150 on Nifty: Tulsian",28 Dec 2012 
9,Year 2013: 11 stocks that can give you handsome returns ,28 Dec 2012 
10,"Buy Reliance, ONGC: Sukhani",28 Dec 2012 
11,"Prefer Reliance Industries, says Anil Manghnani", 28 Dec 2012
12,RIL says no agreement done to buy Hotel Leela's biz park,27 Dec 2012 
13,DLF can move to Rs 244: Anil Manghnani, 26 Dec 2012
14,"Reliance Industries can move to Rs 1000, says Baliga",24 Dec 2012 
15,"Here's how one should play RIL, DLF, Balrampur Chini ",24 Dec 2012 
16,"Buy RIL Jan Fut above Rs 853, target Rs 883: IIFL", 21 Dec 2012
17,RIL to restart crude unit in 1-2 days after fire,21 Dec 2012 
18,CIC should have heard RIL in RTI insider trading case:HC,20 Dec 2012 
19,RIL plans to invest USD 10 bn on its 4G network: Vendor,19 Dec 2012 
20,"OilMin to seek legal opinion on RIL, Cairn pleas",19 Dec 2012 
21,RIL has agreed to CAG audit: Oil Ministry,18 Dec 2012 
22,Top super six stocks ideas for December 18,18 Dec 2012 
23,"RIL, BP shut seventh well at KG-D6 gas block: Source", 14 Dec 2012
24,RIL shuts seventh well on KG-D6 gas block,13 Dec 2012 
25,Stay invested in PFC: Sukhani,13 Dec 2012 
26,Parliament panel pulls up Oil Min for inaction against RIL,12 Dec 2012 
27,See upside in Reliance Industries: Anil Manghnani, 12 Dec 2012
28,'CAG will confine to financial audit of KG-D6 block',11 Dec 2012 
29,Barmer refinery unviable without all crude from Cairn: HPCL, 10 Dec 2012
30,DGH scraps RIL's proposal of single test in 3 discoveries,10 Dec 2012 
31,RIL opposes uniform marketing margin for natural gas, 09 Dec 2012
32,Know Your Investment: 11 short-term picks for good returns, 08 Dec 2012
33,"Buy Reliance Industries, says Sukhani", 07 Dec 2012
34,Reliance-BP start drilling at D6 post 16 months of approval, 07 Dec 2012
35,RIL to shut crude distillation unit at Jamnagar in Jan,06 Dec 2012 
36,BP begins first drilling in 16 mths after RIL investment,06 Dec 2012 
37,Govt bars oil PSUs from setting up self-funded petrol pumps,06 Dec 2012 
38,"Positive on Lance, Suzlon and IVRCL: Tulsian",06 Dec 2012 
39,Ex-Im to extend USD 2.1 billion credit to RIL,06 Dec 2012 
40,Ex-Im to extend $2.1bn credit to Reliance Ind; stk down,06 Dec 2012 
41,RIL gets $2.1bn credit support from US EXIM Bank,05 Dec 2012 
42,LNG imports to surpass domestic production in 2 yrs,05 Dec 2012 
43,HC tells Sebi to make RIL party to appeal against CIC,05 Dec 2012 
44,RIL can see 10% upside in six month: Devang Mehta,05 Dec 2012 
45,RIL completes sale of 25% stake in Yemen oil block for $90m, 05 Dec 2012
46,"RIL divests Yemen-9 block to Medco, Indonesia", 05 Dec 2012
47,Reliance Inds has resistance around Rs 840-850: Sukhani,04 Dec 2012 
48,No reason for fertilisers' rally; negative on IT: Tulsian,04 Dec 2012 
49,Buy RIL around Rs 800; may rally to Rs 880-885: Kulkarni,04 Dec 2012 
50,India to become a net importer of natural gas in two years,03 Dec 2012 
51,"Reliance Industries can touch Rs 821, says Vayalar",29 Nov 2012 
52,"Reliance Industries, TCS look good: Harchekar",27 Nov 2012 
53,Buy Reliance Industries; target of Rs 824: IIFL, 26 Nov 2012
54,RIL denies allegation of hoarding gas,26 Nov 2012 
55,RIL agrees to CAG scrutiny expenses in KG gas block , 25 Nov 2012
56,Reliance Industries may go to Rs 795-800: Thukral, 23 Nov 2012
57,Expert views: Trading tips on 10 largecap stocks,23 Nov 2012 
58,Not seeking revision in gas price before April 2014: RIL,22 Nov 2012 
59,Reliance Industries has target of Rs 860: TS Harihar, 22 Nov 2012
60,"Kotak ups Reliance Ind to 'reduce' from 'sell', but bearish", 21 Nov 2012
61,OilMin withdraws note opposing KG-D6 gas price hike by RIL,20 Nov 2012 
62,Reliance softens stance over proposed CAG audit: Sources ,20 Nov 2012 
63,6 stocks that should do well today,20 Nov 2012 
