,Headlines,Date
0,Vijay Mallya wants to ace retail too,29 Dec 2006
1,Ratings on RIL affirmed at BBB with stable outlook, 29 Dec 2006
2,Railways to chugh along the retail track,27 Dec 2006
3,Prefer Bajaj Auto to Hero Honda Motors,27 Dec 2006
4,"GAIL set for unbundling of marketing, transmission biz ",27 Dec 2006
5,Dont make fresh investment in Reliance at current levels.,21 Dec 2006
6,Stay invested in Reliance , 21 Dec 2006
7,Cairn India eyes more finds in Ravva offshore,21 Dec 2006
8,New gas policy gives exclusivity to existing players,20 Dec 2006
9,"SBI, Tata Steel are top advance tax payers",20 Dec 2006
10,Buy ITC at Rs 140, 20 Dec 2006
11,Essar Oil-RIL: Old rivalry gets friendly boost,20 Dec 2006
12,Essar dispatches first cargo to British Gas,20 Dec 2006
13,From hostage to riches-the Su-Kam experience,18 Dec 2006
14,RIL strikes black gold in MA-2 well in KG Basin,18 Dec 2006
15,Reliance Industries may touch Rs 1300,18 Dec 2006
16,Reliance might lead rally in January: Manghnani,14 Dec 2006
17,RIL to invest $5.2 b to double KG basin output ,14 Dec 2006
18,Shopping spree for Reliance Retail ,13 Dec 2006
19,"ACC, Grasim looks good",13 Dec 2006
20,DGH approves RILs addendum to dvlpt plan for KG-D6, 13 Dec 2006
21,ONGC may shell out Rs 100 cr for unfinished work,13 Dec 2006
22,India Inc speaks out on growth,12 Dec 2006
23,Sebi suspendeds RSSB trading,11 Dec 2006
24,After green revolution it's retail revolution, 08 Dec 2006
25,Glimpses of India Business Leader Awards 2007,08 Dec 2006
26,IndianOil losing extra Rs 8 cr a day on fuel price cut,07 Dec 2006
27,"Buy Ranbaxy, Satyam, Bharti",06 Dec 2006
28,Hold Reliance Communications, 06 Dec 2006
29,Reliance Industries an outperformer: CLSA,05 Dec 2006
30,Reliance Industries has target of Rs 1340,05 Dec 2006
31,Reliance will not give spectacular returns,05 Dec 2006
32,Reliance Industries can touch Rs 1600,05 Dec 2006
33,Reliance Retail buys Adani Retail ,05 Dec 2006
34,RIL bags UNAIDS Civil Society Awards 2006 , 05 Dec 2006
35,Global players to tap cold storage opportunity,05 Dec 2006
36,International companies to break ice in India,04 Dec 2006
37,"Above Rs 1280, Reliance Ind has target of Rs 1340-1350",04 Dec 2006
38,Reliance restarts VGO Hydrotreater II unit in record time,04 Dec 2006
39,F&O strategies for the day, 04 Dec 2006
40,Reliance to take piped gas to Tamil Nadu,04 Dec 2006
41,Buy Reliance Industries, 01 Dec 2006
42,F&O strategies for the day, 01 Dec 2006
43,Accumulate Reliance Industries: Edelweiss Research,30 Nov 2006
44,Accumlate Reliance Industries: Edelweiss , 30 Nov 2006
45,Hold Reliance for medium to long term perspective,28 Nov 2006
46,Reliance Industries can touch Rs 1400,28 Nov 2006
47,Shoppers Stop can give up move above Rs 700,28 Nov 2006
48,Lanco overpriced at current levels, 28 Nov 2006
49,"Bharti, Wal-Mart finalise cash & carry alliance", 27 Nov 2006
50,"Above Rs 250, HLL can touch Rs 285-290", 27 Nov 2006
51,Domestic retail sector to see tax holidays ,24 Nov 2006
52,ONGC likely to win 24 blocks in sixth round,24 Nov 2006
53,ONGC not to be awarded 12 deep water blocks, 23 Nov 2006
54,NELP VI: RIL may get 7 blocks,22 Nov 2006
55,Buy ONGC for target of Rs 915,22 Nov 2006
56,Motilal Oswal downgrades RIL to neutral , 22 Nov 2006
57,Reliance Ind has support at Rs 1235-1240, 20 Nov 2006
58,MRPL to roll out retail plans,20 Nov 2006
59,"Reliance, Videocon sign separate pacts in Timor",18 Nov 2006
60,"No discounts on LPG, kerosene: MRPL",18 Nov 2006
61,RIL signs PSC for an offshore exploration block, 17 Nov 2006
62,"Reliance to develop two ports for SEZ units, retail biz",17 Nov 2006
63,Reliance Ind eyeing the pharma space?,13 Nov 2006
64,F&O strategies for the day, 13 Nov 2006
65,Hold Reliance Industries,10 Nov 2006
66,See some more consistency before investing in Essar Oil,10 Nov 2006
67,RIL board approves plans to raise USD 2bn ,09 Nov 2006
68,Hold Reliance Industries, 09 Nov 2006
69,RIL to raise USD 2 bn through FCCBs,09 Nov 2006
70,Bridging more than the digital divide,09 Nov 2006
71,"Post Electrolux, Rajeev Karwal quits Reliance",08 Nov 2006
72,"Reliance, Infosys look strong",08 Nov 2006
73,Reliance Industries has support at Rs 1230-1235,08 Nov 2006
74,Buy Reliance Industries on dips,07 Nov 2006
75,Keep 3-5 year time frame in Reliance Industries,07 Nov 2006
76,Stay invested in Reliance Energy,07 Nov 2006
77,Hold Reliance Industries,06 Nov 2006
78,Oil Ministry grants Rel Petro marketing rights: Sources ,06 Nov 2006
79,Prefer Reliance to IPCL, 06 Nov 2006
80,ONGC has target of Rs 930-935, 06 Nov 2006
81,SC asks Mid-day to make way for ADAG's Big 92.7 FM , 04 Nov 2006
82,Reliance makes a Fresh retail splash ,04 Nov 2006
83,Reliance opens its retail outlets to public ,03 Nov 2006
84,RIL files amended dvlpt plan for KG-D6 with DGH , 03 Nov 2006
85, Reliance notifies gas discovery in KG Basin to DGH, 03 Nov 2006
86,Reliance looks expensive, 03 Nov 2006
87,No more cheap gas: Oil Ministry, 03 Nov 2006
88,RIL to raise debt from US private placement mkt,03 Nov 2006
89,Reliance Fresh opens 12 new outlets in Hyderabad ,03 Nov 2006
90,Reliance Ind can touch Rs 1410,02 Nov 2006
91,Reliance looks good for long term,02 Nov 2006
92,Reliance Industries can touch Rs 1300,01 Nov 2006
93,RIL submits revised gas estimates to DGH ,01 Nov 2006
94,Reliance Ind likely to raise USD 2 bn through FCCB,01 Nov 2006
95,Radio One has to make way for ADAG's Big 92.7 FM,01 Nov 2006
96,Reliance Industries can go upto Rs 1350-1400, 30 Oct 2006
97,Walk into Reliance Fresh- the company's new retail foray ,30 Oct 2006
98,Reliance's retail initiative takes off ,30 Oct 2006
99,Reliance Statement, 28 Oct 2006
100,Hold Reliance Industries,26 Oct 2006
101,Reliance Industries has support at Rs 1100,26 Oct 2006
102,RIL Jamnagar fire: Impact on production to be minimal,26 Oct 2006
103,Fire at Reliance refinery complex at Jamnagar,26 Oct 2006
104,Reliance Statement,25 Oct 2006
105,Europe is top target for acquisitions by multinational cos,25 Oct 2006
106,Damage to RIL unit minimal due to fire: Petro Secretary,25 Oct 2006
107,PSU oil firms to go the Reliance way,23 Oct 2006
108,"Hold Reliance, target of Rs 1293: Angel Broking",23 Oct 2006
109,Large consolidation can be on the cards for Reliance, 23 Oct 2006
110,RIL's turnover of Rs 55716cr for the half year,20 Oct 2006
111,"Buy Reliance Industries, says ICICI Securities",20 Oct 2006
112,Reliance has short term target of Rs 1290,20 Oct 2006
113,Buy Reliance Industries, 20 Oct 2006
114,Buy Reliance Industries: DSP Merrill Lynch, 20 Oct 2006
115,What do Reliance's nos say?,19 Oct 2006
116,Reliance Q2 net up 9.2% at Rs 2709cr,19 Oct 2006
117,RIL's Q2 net profit expected to be up 3.6%, 19 Oct 2006
118,Reliance Industries can touch Rs 1260,16 Oct 2006
119,"Prefer Pantaloon Ret, RIL to Piramyd Retail",16 Oct 2006
120,RIL Q2 net seen up 3.6% at Rs 2569.5cr, 16 Oct 2006
121,Reliance Industries can touch Rs 1220-1230, 16 Oct 2006
122,Stay invested in TCS and Reliance, 16 Oct 2006
123,Tata's new Croma opens shop,16 Oct 2006
124,"What to expect from RIL, ONGC nos? SSKI answers",13 Oct 2006
