,Headlines,Date
0,Reliance Industries will touch Rs 1000: Gujral,30 Dec 2005
1,Reliance Industries looks rock solid: Sharma,30 Dec 2005
2,Long term growth will be good in Reliance,30 Dec 2005
3,Reliance going to be stock for 2006: Dutt, 30 Dec 2005
4,Reliance wins National Award for Excellence,29 Dec 2005
5,"RIL can touch Rs 1000-1050, says Baliga", 29 Dec 2005
6,Another committee to review airport privatisation, 29 Dec 2005
7,"Buy Reliance Industries, says Jain",28 Dec 2005
8,RIL has strong support at Rs 845-850: Mathew,28 Dec 2005
9,Reliance Industries Limited  :  Demerger,28 Dec 2005
10,Reliance Industries will be good performer in 2006,28 Dec 2005
11,"Crowding plans, hidden ARPUs",28 Dec 2005
12,Reliance Industries has target of Rs 950: Gujral,28 Dec 2005
13,Expert views on RIL's price discovery, 28 Dec 2005
14,Clarifies prospective events leading to listing,27 Dec 2005
15,Reliance Industries has target of Rs 950,27 Dec 2005
16,Reliance terms NTPC's bid document as unfair,27 Dec 2005
17,ADAE clarifies steps to be taken post demerger,27 Dec 2005
18,Accumulate Reliance Industries on declines: Jain,26 Dec 2005
19,Hindustan Construction needs to close above Rs 135, 26 Dec 2005
20,Reliance Industries has good support at Rs 815-820, 26 Dec 2005
21,Buy Reliance Industries for long term: Baliga, 26 Dec 2005
22,Buy Reliance Industries on crack:  Chadha, 26 Dec 2005
23,"MPs not happy with BSNL, MTNL service", 24 Dec 2005
24,NSE allows market discovery of Reliance stock price, 24 Dec 2005
25,Keep stoploss in RIL at Rs 825-830: Mathew,23 Dec 2005
26,"RIL can go upto Rs 950-1000, says Pujara",23 Dec 2005
27,Reliance to develop gas grid in AP,23 Dec 2005
28,"Hold Reliance Industries, says Dhawan",22 Dec 2005
29,Reliance fixes Jan 25 as record date for demerger, 22 Dec 2005
30,Target of Rs 910-950 on Reliance: SP Tulsian, 22 Dec 2005
31,Another gas find for RIL?,22 Dec 2005
32,Broadband focus to help retain customers: MTNL, 21 Dec 2005
33,NTPC files case against Reliance,21 Dec 2005
34,NTPC files suit against RIL,21 Dec 2005
35,Why is Reliance denying any oil find in KG Basin?,20 Dec 2005
36,Mukesh Ambani set to unveil mega biotech facility, 17 Dec 2005
37,No concrete offer on gas supply from RIL to NTPC: Sources,15 Dec 2005
38,"BP, Exxon & Shell may invest in 5 Indian states",15 Dec 2005
39,Promoter holdings up by 3% in Reliance,14 Dec 2005
40,"Hold Reliance Industries, says Jain",12 Dec 2005
41,Buy Reliance Industries at current level: Bhambwani,12 Dec 2005
42,"Buy Reliance Ind at current level, says Sharma", 12 Dec 2005
43,Experts' views on will Reliance de-list post demerger, 12 Dec 2005
44,Stay invested in Reliance Industries: Chadha, 12 Dec 2005
45,RIL will be rangebound between Rs 830-866,09 Dec 2005
46,Gain Rs 40-50 in RIL before demerger: Sharma,09 Dec 2005
47,Record date for RIL to be around Jan 15: Tulsian,09 Dec 2005
48,"Hold Dabur, Matrix Laboratories: Dutt", 09 Dec 2005
49,Reliance Industries should test Rs 860: Dutt, 09 Dec 2005
50,Mumbai HC approves RIL demerger scheme, 09 Dec 2005
51,Some upside left in Reliance Industries,08 Dec 2005
52,"Reliance, NTPC engaged in gas clash",08 Dec 2005
53,Reliance plans underground coal gasification projects, 07 Dec 2005
54,"RIL stops petrol, diesel supply to oil PSUs",06 Dec 2005
55,RIL has target price of Rs 1150: Baliga,06 Dec 2005
56,Reliance Industries has target of Rs 900: Gujral,06 Dec 2005
57,IndianOil to 21st position in the Platts World Energy,06 Dec 2005
58,Bombay HC reserves judgement on RIL demerger,05 Dec 2005
59,"Hold Reliance Industries, says Shanbaug",05 Dec 2005
60,"Above Rs 850, Reliance Ind can touch Rs 900", 05 Dec 2005
61,RIL above Rs 855-860 can go upto Rs 900: Mathew,03 Dec 2005
62,Mehta positive on Reliance Industries,03 Dec 2005
63,Petition on RIL demerger to be heard in HC today,02 Dec 2005
64,"RIL will do well after de-merger, says Arora",01 Dec 2005
65,Reliance Industries has support at Rs 810: Suri, 01 Dec 2005
66,"RIL slides to Rs 815, if breaks Rs 833: Manghnani",30 Nov 2005
67,RIL bags the National Award for R&D Efforts,29 Nov 2005
68,Reliance Industries can touch Rs 900: Mathew,28 Nov 2005
69,"RIL may go up another 25-30 points, says Bose", 28 Nov 2005
70,RIL demerger to carry on smoothly: Experts, 26 Nov 2005
71,Reliance Ind can touch Rs 900: Mohindar, 26 Nov 2005
72,Mukesh Ambani speaks his mind at IIM-A, 26 Nov 2005
73,Reliance de-merger hearing postponed, 25 Nov 2005
74,RIL receives the Golden Peacock Innovation Award - 2005,25 Nov 2005
75,Bombay High Court to hold hearing on RIL demerger,24 Nov 2005
76,S&P upgrades RIL's currency ratings, 24 Nov 2005
77,Ratings on Reliance Industries Ltd.raised to 'BBB',23 Nov 2005
78,RIL has major support at Rs 775-803: Mathew,18 Nov 2005
79,Topline growth to be driven by autogas business: Aegis,18 Nov 2005
80,Reliance can pan out into interesting story: Verma, 18 Nov 2005
81,RIL going to lead this phase of market rally: Thacker, 18 Nov 2005
82,"Reliance Industries will become heavier, says Vora", 17 Nov 2005
83,"Buy Reliance Industries on dips, says Malkani", 17 Nov 2005
84,Reliance purchases of Iraqi crude oil suppliers,16 Nov 2005
85,Reliance Industries can be market leader: Suri, 16 Nov 2005
86,"Buy Reliance Industries, says Baliga", 11 Nov 2005
