,Headlines,Date
0,Expect upside in ONGC: Jai Bala,30 Dec 2014 
1,Reliance Industries may test Rs 860: Manas Jaiswal,30 Dec 2014 
2,"Short ICICI Bank, Axis Bank: Siddharth Bhamre",30 Dec 2014 
3,Planned turnaround at Nagothane manufacturing site: RIL,27 Dec 2014 
4,"Prefer HPCL, BEML, Oil India: Rajesh Agarwal",26 Dec 2014 
5,RIL to give up KG basin gas discovery block,24 Dec 2014 
6,"Buy Reliance Industries, says Amit Harchekar",23 Dec 2014 
7,Short Reliance Industries: Siddharth Bhamre, 23 Dec 2014
8,"ONGC may test Rs 417, says Mayuresh Joshi",22 Dec 2014 
9,Reliance Industries may go upto Rs 940: Anu Jain, 20 Dec 2014
10,Stay invested in Reliance Industries: Kunal Saraogi,17 Dec 2014 
11,"Buy auto, bank stocks on correction: Sanjeev Prasad", 15 Dec 2014
12,Sell Reliance Industries: Rahul Mohindar,12 Dec 2014 
13,"Buy Reliance Industries 940 Put, sell 920 Put: JK Jain",10 Dec 2014 
14,Hope Cabinet lowers price to Trai recommended level: EY, 10 Dec 2014
15,Reliance forms JV with China's Ruyi for textile business,09 Dec 2014 
16,RIL signs MoU with Petroleos Mexicanos for Mexico foray,05 Dec 2014 
17,Reliance signs MOU with Petroleos Mexicanos,05 Dec 2014 
18,"Short Tata Steel, Bajaj Auto, TVS Motor: Siddharth Bhamre", 02 Dec 2014
19,ONGC targets to start production by mid-2018 from KG-D5,01 Dec 2014 
20,Panel probing delay in ONGC KG basin gas find: Pradhan,25 Nov 2014 
21,"Prefer Cairn India, Reliance Industries: Siddharth Bhamre",21 Nov 2014 
22,Buy Reliance Industries above Rs 1000: Kunal Bothra,21 Nov 2014 
23,"Buy Kotak Mah on every dip, stay invested for 2-3 yrs:Deven",21 Nov 2014 
24,Ashish Jagnani positive on Reliance Industries, 20 Nov 2014
25,Reliance Jio Infocomm signs syndicate term loan facilities,18 Nov 2014 
26,Buy Bharti Airtel on dips: Siddarth Bhamre,14 Nov 2014 
27,Buy Reliance Industries on dips: Sudarshan Sukhani,12 Nov 2014 
28,Buy Reliance Industries; target of Rs 1168: Emkay,11 Nov 2014 
29,"Buy HDFC, NTPC, Reliance Industries: Rahul Mohindar",11 Nov 2014 
30,JK Jain recommends short strangle in Reliance Industries,11 Nov 2014 
31,Data tariffs may fall 20% with Reliance Jio's entry: Fitch,11 Nov 2014 
32,"Pioneer, Reliance to divest their stake in JV", 05 Nov 2014
33,Will de-merger of IDFC into bank lead to big re-rating?,31 Oct 2014 
34,Buy Reliance Industries 980 Call: VK Sharma, 31 Oct 2014
35,"Buy Cipla, Reliance Ind may move up by 7%: Murlidharan", 30 Oct 2014
36,"Prefer capital goods, oil & gas space: Gautam Shah",28 Oct 2014 
37,Buy Reliance Industries on every correction: Sukhani,27 Oct 2014 
38,"Buy Aurobindo Pharma, RIL, Tata Chemicals: Sukhani",22 Oct 2014 
39,Go long in Reliance Industries: Sudarshan Sukhani, 22 Oct 2014
40,"Short Reliance Industries 940 Call, Put: Siddharth Bhamre", 21 Oct 2014
41,Gas price hike fruitful if discoms buy costlier power: NTPC,20 Oct 2014 
42,ONGC to benefit more from gas price hike: Edelweiss,20 Oct 2014 
43,2G to 4G: Will Indian telecom revolution give 3G a miss?,17 Oct 2014 
44,Buy Reliance Industries; target of Rs 1168: Emkay,16 Oct 2014 
45,Invest in Reliance Industries: Sudarshan Sukhani, 16 Oct 2014
46,Buy Reliance Industries; target of Rs 1198: KRChoksey,14 Oct 2014 
47,LKP neutral on Reliance Industries; target of Rs 950,14 Oct 2014 
48,Expect upside in Reliance Industries: Amit Harchekar,14 Oct 2014 
49,Buy Reliance Industries; target of Rs 1190: Sharekhan,14 Oct 2014 
50,Buy Reliance Industries: Sudarshan Sukhani, 14 Oct 2014
51,"Buy Reliance Industries, may test Rs 1206: Quant",14 Oct 2014 
52,Reliance Q2 nos positive; buy with Rs 1206 target: Quant,14 Oct 2014 
53,Here's how experts read Reliance Ind's Q2 results,13 Oct 2014 
54,"Reliance Ind Q2 net, gross refining margin beat estimates",13 Oct 2014 
55,Dipan Mehta cautious on Reliance Industries,13 Oct 2014 
56,Expect Reliance to report flattish Q-o-Q growth: Religare, 13 Oct 2014
57,"Reliance Industries Q2 net profit seen at Rs 5,600 cr: Poll",13 Oct 2014 
58,Ambani's kids made directors of Rel Jio & retail ventures,12 Oct 2014 
59,Madhya Pradesh may see over Rs 6.8 lakh cr investments,10 Oct 2014 
60,Buy Reliance Industries: Mehraboon Irani,10 Oct 2014 
61,Buy Reliance Industries: Yogesh Mehta,10 Oct 2014 
62,Prefer Reliance Industries: Deven Choksey, 10 Oct 2014
