,Headlines,Date
0,"Six of top-10 cos lose Rs 64,419cr in m-cap; RIL takes biggest hit", 29 Dec 2019
1,Mukesh Ambani's Reliance Retail valued at $34 bn in new share-swap scheme,26 Dec 2019 
2,"Reliance tears into govt affidavit, says no final arbitration award due",23 Dec 2019 
3,Eight of top-10 cos add Rs 1.13 lakh crore in m-cap; TCS tops chart, 22 Dec 2019
4,Shell-Reliance give up Panna-Mukta fields; western offshore fields to revert to ONGC, 20 Dec 2019
5,"Reliance, BP sign pact to set up petrol pumps under Jio-BP brand",16 Dec 2019 
6,Reliance Industries tops Fortune India 500 list ending IOC's 10-year reign,16 Dec 2019 
7,"Reliance forms a base, recommend delta appreciating based âBull Call Spreadâ", 14 Dec 2019
8,RIL arm acquires 51.78% stake in Asteria Aerospace for Rs 23.12 cr,13 Dec 2019 
9,Reliance Industries ROCE could rise to 11% in 2 years: Morgan Stanley,10 Dec 2019 
10,Reliance Industries signs pact with ADNOC for development of chemical facility,10 Dec 2019 
11,Sanjay Dutt of Quantum Securities says PSUs will be a big theme over next 2 years,10 Dec 2019 
12,"Mukesh Ambani ranked 9th on Forbes' Real-Time Billionaires List, overtakes Alphabet's Larry Page",29 Nov 2019 
13,Green shoots in the telecom sector?, 20 Nov 2019
14,"Buy Reliance Industries, target Rs 1,610: Anand Rathi",12 Nov 2019 
15,"Four of top-10 firms lose Rs 55,682 crore in m-cap; TCS, HUL worst hit", 10 Nov 2019
16,"Top buy and sell ideas by Ashwani Gujral, Mitesh Thakkar, Prakash Gaba for short term",08 Nov 2019 
17,Reliance Brands raises stake in Future101 Design to 17.5%, 30 Oct 2019
18,"RIL's digital biz rejig to bring platform apps onto investor radar, say analysts",28 Oct 2019 
19,Reliance Industries: A move to create a highly valuable digital business platform, 25 Oct 2019
20,Jio to be part of new RIL subsidiary; restructuring a boon for telecom arm, 25 Oct 2019
21,"Jio becoming net debt-free unlocks value, paves way for listing of digital business: Experts", 25 Oct 2019
22,"Reliance Consolidated September 2019 Net Sales at Rs 148,526.00 crore, up 3.63% Y-o-Y",22 Oct 2019 
23,"Should you buy, sell or hold RIL? Here is what top brokerages say", 22 Oct 2019
