,Headlines,Date
0,Telecom sector in 2017: A year marked by bitter competition and consolidation,29 Dec 2017 
1,"Buy Reliance Industries, Infosys, Dish TV: Sudarshan Sukhani", 29 Dec 2017
2,"Reliance Jio, RCom wireless assets deal a 'win-win' for both players",28 Dec 2017 
3,"Sell Reliance Industries, Balrampur Chini; buy UPL: Ashwani Gujral", 28 Dec 2017
4,"Buy Reliance Industries, Cipla, Yes Bank; sell Bank of Baroda: Sudarshan Sukhani",27 Dec 2017 
5,RIL@40: Mukesh Ambani unveils his vision for Reliance,23 Dec 2017 
6,Mcap of BSE-listed cos hits record high of over Rs 150 lakh cr,22 Dec 2017 
7,News highlights of the day: Donald Trump signs US Tax bill,22 Dec 2017 
8,Accenture sees AI adding a whopping $957 bn to GDP by 2035,21 Dec 2017 
9,Moolah miners of 2017: Jeff Bezos tops on Forbes' biggest billionaire gainers list,21 Dec 2017 
10,"Buy Reliance Industries, Ajanta Pharma, Zee Entertainment, Hexaware; short BEML: Sudarshan Sukhani", 15 Dec 2017
11,Reliance Jio may hike tariffs in 2018: OpenSignal,12 Dec 2017 
12,"Govt may tweak definition of petroleum to rope in shale, private players may benefit", 12 Dec 2017
13,"Buy RIL, Bharat Financial, DHFL, Bharat Forge, M&M Financial; sell Grasim: Sudarshan Sukhani", 07 Dec 2017
14,"Buy Reliance Industries, sell Tata Motors: Rajat Bose",05 Dec 2017 
15,"Ahead of schedule in generating returns on Jio, says Mukesh Ambani",01 Dec 2017 
16,"Mukesh Ambani's message to telecom competitors: Some losses worth taking, big boys can afford them",01 Dec 2017 
17,India has the potential to become a $10 trillion economy by 2030: Mukesh Ambani,01 Dec 2017 
18,CLSA bets on JioPhone to drive growth for Reliance, 29 Nov 2017
19,News as-it-happened: NK Singh appointed chairman of 15th Finance Commission,27 Nov 2017 
20,"Seven of top-10 most valued cos add Rs 54,174 crore in mcap",26 Nov 2017 
21,Reliance Industries sells stake in Marcellus Shale to BKV Chelsea for $ 126 mn, 24 Nov 2017
22,"Buy Reliance Industries, TVS Motor: Chandan Taparia",24 Nov 2017 
23,Reliance closes recently announced sale of its interest in certain upstream assets,24 Nov 2017 
24,"News highlights of the day: Chinese, Indian, Iranian firms eye $10 billion refinery in Brazil",24 Nov 2017 
25,Reliance Industries raises $800 mn via 10-year bonds at lowest rate, 21 Nov 2017
26,Reliance Industries issues $800 million unsecured notes,21 Nov 2017 
27,"Top buy & sell ideas by Ashwani Gujral,Mitessh Thakkar & Prakash Gaba for November 21",21 Nov 2017 
28,News highlights of the day: Robert Mugabe resigns as president of Zimbabwe,21 Nov 2017 
29,Earnings revival after a long wait â will it convert the last bear standing?, 20 Nov 2017
30,"News highlights of the day: Shia Waqf Board calls for temple in Ayodhya, mosque in Lucknow",20 Nov 2017 
